Generation	Max Score	Mean Score	Total Score
1	-7976	-13446	-6884754
2	-7776	-12869	-6589217
3	-7776	-12808	-6557900
4	-7576	-12667	-6485590
5	-7574	-12251	-6272615
6	-7576	-12265	-6280105
7	-7374	-11749	-6015801
8	-7358	-11321	-5796783
9	-6576	-11219	-5744563
10	-6576	-10754	-5506048
11	-6576	-11163	-5715577
12	-6371	-11432	-5853636
13	-6371	-10797	-5528162
14	-6371	-10956	-5609891
15	-6171	-10715	-5486322
16	-6371	-10548	-5400907
17	-6171	-10769	-5513946
18	-6371	-10626	-5440646
19	-6171	-10620	-5437923
20	-6171	-10759	-5509110
21	-6171	-10439	-5345261
22	-6166	-10551	-5402616
23	-6166	-10324	-5286145
24	-6166	-10594	-5424185
25	-6166	-10395	-5322611
26	-6166	-10419	-5334879
27	-6166	-10294	-5270738
28	-5976	-10512	-5382655
29	-5976	-10715	-5486477
30	-5976	-10587	-5420636
31	-5966	-10749	-5503801
32	-5966	-10130	-5186979
33	-5966	-10415	-5332721
34	-5966	-9948	-5093443
35	-5966	-10075	-5158900
36	-5766	-10296	-5272019
37	-5966	-10531	-5391891
38	-5766	-9832	-5034476
39	-5766	-10112	-5177853
40	-5766	-10243	-5244900
41	-5766	-10273	-5259777
42	-5587	-10133	-5188486
43	-5766	-10107	-5175131
44	-5587	-10224	-5235136
45	-5587	-10116	-5179817
46	-5587	-9949	-5094255
47	-5163	-9459	-4843502
48	-5163	-10072	-5157046
49	-5163	-10132	-5187790
50	-5163	-9965	-5102202
51	-4963	-9840	-5038305
52	-4963	-9834	-5035508
53	-4963	-9844	-5040419
54	-4963	-9759	-4996882
55	-4963	-9725	-4979316
56	-4963	-9441	-4834064
57	-4963	-9712	-4972646
58	-4963	-9836	-5036121
59	-4963	-10309	-5278364
60	-4963	-9401	-4813766
61	-4953	-8867	-4540069
62	-4953	-9510	-4869509
63	-4963	-9644	-4938056
64	-4953	-9417	-4821894
65	-4953	-9461	-4844199
66	-4953	-9175	-4697977
67	-4758	-8461	-4332502
68	-4755	-9530	-4879541
69	-4755	-9391	-4808591
70	-4755	-8679	-4444134
71	-4368	-9255	-4738794
72	-4368	-9160	-4690408
73	-4368	-9602	-4916699
74	-4368	-9157	-4688772
75	-4368	-9038	-4627488
76	-4368	-9112	-4665551
77	-4368	-9254	-4738067
78	-4368	-9268	-4745648
79	-4368	-9373	-4799276
80	-4368	-9036	-4626836
81	-4368	-9160	-4689965
82	-4368	-8317	-4258721
83	-4368	-8975	-4595597
84	-4368	-9197	-4708931
85	-4368	-8853	-4532755
86	-4368	-9415	-4820858
87	-4368	-9484	-4856038
88	-4368	-9036	-4626789
89	-4368	-8546	-4375691
90	-4368	-8813	-4512614
91	-4368	-9078	-4648447
92	-4368	-8975	-4595208
93	-4368	-8489	-4346824
94	-4368	-7957	-4074455
95	-4353	-8856	-4534537
96	-4153	-9197	-4708991
97	-4153	-8762	-4486439
98	-4153	-8605	-4406132
99	-4153	-8598	-4402465
